ID,CPURL,RCPURL,SLURL
4875,http://careerplus.shine.com/skill-courses/cloud-security-professional/pd4875.html,/skill-courses/cloud-security-professional/pd4875.html,https://learning.shine.com/course/it-information-technology/cloud-security-professional/pd-1715
781,http://careerplus.shine.com/skill-courses/vskills-certified-commercial-banker/pd781.html,/skill-courses/vskills-certified-commercial-banker/pd781.html,https://learning.shine.com/course/banking-finance/commercial-banking-3/pd-2083
3085,http://careerplus.shine.com/skill-courses/prince2-foundation/pd3085.html,/skill-courses/prince2-foundation/pd3085.html,
3341,http://careerplus.shine.com/tssc/assessment-fee/pd3341.html,/tssc/assessment-fee/pd3341.html,
4365,http://careerplus.shine.com/tssc/application-fee-2/pd4365.html,/tssc/application-fee-2/pd4365.html,
4621,http://careerplus.shine.com/skill-courses/agile-practitioner-pmi-acp-and-scrum-master-aligne/pd4621.html,/skill-courses/agile-practitioner-pmi-acp-and-scrum-master-aligne/pd4621.html,
4877,http://careerplus.shine.com/skill-courses/advanced-architecting-on-amazon-web-services/pd4877.html,/skill-courses/advanced-architecting-on-amazon-web-services/pd4877.html,https://learning.shine.com/course/it-information-technology/architecting-on-amazon-web-services/pd-1716
783,http://careerplus.shine.com/skill-courses/vskills-certified-hedge-fund-manager/pd783.html,/skill-courses/vskills-certified-hedge-fund-manager/pd783.html,https://learning.shine.com/course/banking-finance/hedge-fund-management-2/pd-2085
1295,http://careerplus.shine.com/job-referral/round-one/pd1295.html,/job-referral/round-one/pd1295.html,https://learning.shine.com/services/job-referral-2/job-referrals-pack/pd-2129
2831,http://careerplus.shine.com/skill-courses/six-sigma-black-belt-2/pd2831.html,/skill-courses/six-sigma-black-belt-2/pd2831.html,
3087,http://careerplus.shine.com/skill-courses/prince2-practitioner/pd3087.html,/skill-courses/prince2-practitioner/pd3087.html,
4623,http://careerplus.shine.com/skill-courses/itil-2011-edition-foundation-syllabus-with-getcert/pd4623.html,/skill-courses/itil-2011-edition-foundation-syllabus-with-getcert/pd4623.html,
4879,http://careerplus.shine.com/skill-courses/cloud-computing-technology-fundamentals/pd4879.html,/skill-courses/cloud-computing-technology-fundamentals/pd4879.html,https://learning.shine.com/course/it-information-technology/cloud-computing-technology-fundamentals/pd-1717
785,http://careerplus.shine.com/skill-courses/vskills-certified-wealth-manager/pd785.html,/skill-courses/vskills-certified-wealth-manager/pd785.html,https://learning.shine.com/course/banking-finance/wealth-management/pd-295
